PEP 265 | rejected | consensus | several people | agreed | pep | Several people agreed , and no one disagreed , so the PEP is now rejcted .
PEP 409 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 409 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 409 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 409 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 409 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 409 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 409 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 409 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 409 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 415 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 415 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 415 | superseded | superseded | pep | superseded | pep | Appendix PEPs PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415 Python C API The header file Includepyerror .
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 415 | superseded | superseded | pep | superseded | pep | PEP 3134 Exception Chaining and Embedded Tracebacks https www.python.org dev peps pep 3134 Python 3.0 new context and cause attributes for exceptions PEP 415 Implement context suppression with exception attributes https www.python.org dev peps pep 0415 Python 3.3 raise exc from None PEP 409 Suppressing exception context https www.python.org dev peps pep 0409 superseded by the PEP 415
PEP 524 | accepted | superseded | pep | superseded | pep | This idea is the PEP 522 which was superseded by the PEP 524 accepted in Python 3.6 which proposed to make os .
PEP 524 | accepted | superseded | pep | superseded | pep | This idea is the PEP 522 which was superseded by the PEP 524 accepted in Python 3.6 which proposed to make os .
PEP 524 | superseded | superseded | pep | superseded | pep | This idea is the PEP 522 which was superseded by the PEP 524 accepted in Python 3.6 which proposed to make os .
PEP 524 | superseded | superseded | pep | superseded | pep | This idea is the PEP 522 which was superseded by the PEP 524 accepted in Python 3.6 which proposed to make os .
PEP 524 | rejected | superseded | pep | was rejected | in favor of | Crap , after reading more carefully , I see that PEP was rejected in favor of PEP 524 .
PEP 524 | rejected | superseded | pep | was rejected | in favor of | Crap , after reading more carefully , I see that PEP was rejected in favor of PEP 524 .
PEP 524 | rejected | superseded | pep | was rejected | in favor of | Crap , after reading more carefully , I see that PEP was rejected in favor of PEP 524 .
PEP 524 | rejected | superseded | pep | was rejected | in favor of | Crap , after reading more carefully , I see that PEP was rejected in favor of PEP 524 .
PEP 524 | superseded | superseded | pep | was rejected | in favor of | Crap , after reading more carefully , I see that PEP was rejected in favor of PEP 524 .
PEP 3103 | poll_result_no_support | no_consensus | proposal | has | no popular support | https www.python.orgdevpepspep 3103 A SwitchCase Statement '' by Guido van Rossum , Rejection Notice A quick poll during my keynote presentation at PyCon 2007 shows this proposal has no popular support .
PEP 3103 | poll_result | no_consensus | no proposal | had | majority | There the poll indicated no specific proposal had a majority , so for each specific proposal one could say it did n't have popular support , but the majority still prefered to have a conditional expression .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | one | disagreed |  | No one disagreed , and the PEP was rejected .
PEP 294 | rejected | consensus | no one | disagreed |  | No one disagreed , and the PEP was rejected .
